city,population,area,density,country,wbcode
Caloocan,1661584,53,31233,Philippines,PHL
Las Piñas,606293,32,18935,Philippines,PHL
Makati,629616,22,28975,Philippines,PHL
Malabon,380522,16,23842,Philippines,PHL
Mandaluyong,425758,11,38495,Philippines,PHL
Manila,1846513,43,43062,Philippines,PHL
Marikina,456059,23,20144,Philippines,PHL
Muntinlupa,543445,40,13672,Philippines,PHL
Navotas,247543,12,21507,Philippines,PHL
Parañaque,689992,48,14468,Philippines,PHL
Pasay,440656,19,23640,Philippines,PHL
Pasig,803159,31,25530,Philippines,PHL
Pateros,65227,2,37061,Philippines,PHL
Quezon City,2960048,166,17882,Philippines,PHL
San Juan,126347,6,21524,Philippines,PHL
Taguig,886722,54,16522,Philippines,PHL
Valenzuela,714978,47,15206,Philippines,PHL
Metro Manila,13484462,624,21605,Philippines,PHL
Beijing,21893095,16411,1334,China,CHN
Berlin,3677472,891,4126,Germany,DEU
Bogota,8034649,307,26141,Colombia,COL
Delhi,16787941,1484,11313,India,IND
Dhaka,10278882,305,33649,Bangladesh,BGD
Hong Kong,7333200,1110,6605,China,HKG
Jakarta,10562088,664,15907,Indonesia,IDN
Johannesburg,5635127,1645,3426,South Africa,ZAF
Lagos,16437435,1171,14034,Nigeria,NGA
London,8799800,1572,5598,United Kingdom,GBR
Los Angeles,3898747,1216,3206,United States,USA
Mexico City,9209944,1485,6202,Mexico,MEX
Mumbai,12478447,603,20680,India,IND
New York,8804190,778,11314,United States,USA
Paris,2102650,105,19949,France,FRA
São Paulo,12400232,1521,8152,Brazil,BRA
Seoul,9443722,605,15604,South Korea,KOR
Shanghai,26875500,6341,4238,China,CHN
Singapore,5637000,733,7689,Singapore,SGP
Tokyo,13988129,2194,6375,Japan,JPN