t,x,x_usa,x_sug,x_usa_sug
1899,29693164,7870510,6919420,1778910
1900,45980746,5921702,4794288,186944
1901,49006706,9092584,5112626,586708
1902,57343808,22951896,6692300,400000
1903,64793492,26142852,6650468,2271652
1904,58299000,23309936,6185504,1741248
1905,66909548,29680814,10146466,4204046
1906,65285784,23738578,9108184,844222
1907,66195734,20658774,8391342,807702
1908,65202144,20901510,11407282,3932332
1909,69848674,29453026,11216574,5299208
1910,81256926,34483450,14448770,12428452
1911,89674254,39845254,22151346,20204206
1912,109846600,45764014,19600680,14010228
1913,95545912,32868036,14065778,3128072
1914,97379268,48855420,22119186,16483706
1915,107626008,47306422,22620430,10283159
1916,139874365,71296265,37175185,17267401
1917,191208613,126468717,24555357,10811518
1918,270388964,178293837,31608780,16559780
1919,226235652,113305384,30415701,7717934
1920,302247711,210432525,99238520,78697869
1921,176230645,100713586,51037454,33752357
1922,191166596,128223201,51165110,40020490
1923,241505980,170094046,69038246,60754301
1924,270689325,194627805,83736173,74981501
1925,297754410,218089883,91028005,82833682
1926,273768639,200006430,64459268,58324938
1927,311148170,232076500,100592919,95773973
1928,310109092,231171751,95085879,91382465
1929,328893685,248930946,106488298,104307859
1930,266334255,210684122,104480451,104077314
1931,207944148,166844793,99926210,99888929
1932,190676161,165295733,119603769,119584586
1933,211542105,182626053,128666851,128657977
1934,220807271,183687187,130909161,130889986
1935,188491360,149871073,65981359,65898341
1936,272896106,215050654,123874644,123854367
1937,302532500,241486043,115412387,115221041
1938,231590554,178889989,100044047,100005372