mx_name,coords_name
Wolof,"Fulbe,Wolof,Serer"
Serer,"Fulbe,Wolof,Serer"
Japan AD 700-1700,Japan
Japanese folklore,Japan
"NW Yakuts (Yessey,Anabar,Olenyok, Lower Lena)",Yakut
Central Yakuts,Yakut
"NE Yakuts (Yana,Indigirka,Kolyma)",Yakut
"Western Yakuts (Olyokma,Vilyuy)",Yakut
Trans NG East Highlands,Trans New Guinea East
Trans NG East Lowlands North,Trans New Guinea East
Trans NG East Lowlands South,Trans New Guinea East
Northern Khanty,Hanty
Southern Khanty,Hanty
Eastern Khanty(Ostyaks),Hanty
Forest Yukaghir (Upper Kolyma),Yukaghir
Tundra Yukaghir (Lower Kolyma),Yukaghir
"Lahu,Sani,Nasu,Jino","Lahu,Sani,Hani,Nasu,Jino"
"Hani, Akha","Lahu,Sani,Hani,Nasu,Jino"