number,name_full,name,suffix,canonization,birth,start,end,age_start,age_end,tenure
1,Peter,Peter,1,Saint,0001-06-30T00:00:00Z,0030-01-01T00:00:00Z,0064-12-31T00:00:00Z,28,63,34.99726775956284
2,Linus,Linus,1,Saint,0010-06-30T00:00:00Z,0064-01-01T00:00:00Z,0076-12-31T00:00:00Z,53,66,12.997267759562842
3,Anacletus,Anacletus,1,Saint,0025-06-30T00:00:00Z,0076-01-01T00:00:00Z,0088-12-31T00:00:00Z,50,63,12.997267759562842
4,Clement I,Clement,1,Saint,0035-06-30T00:00:00Z,0088-04-26T00:00:00Z,0099-11-23T00:00:00Z,52,64,11.578082191780823
5,Evaristus,Evaristus,1,Saint,0030-06-30T00:00:00Z,0099-11-23T00:00:00Z,0105-10-27T00:00:00Z,69,75,5.926027397260274
6,Alexander I,Alexander,1,Saint,0075-06-30T00:00:00Z,0105-10-27T00:00:00Z,0115-05-03T00:00:00Z,30,39,9.515068493150684
7,Sixtus I,Sixtus,1,Saint,0042-06-30T00:00:00Z,0115-05-03T00:00:00Z,0125-04-03T00:00:00Z,72,82,9.917808219178083
8,Telesphorus,Telesphorus,1,Saint,0067-06-30T00:00:00Z,0125-04-03T00:00:00Z,0136-01-05T00:00:00Z,57,68,10.756830601092895
9,Hyginus,Hyginus,1,Saint,0074-06-30T00:00:00Z,0136-01-05T00:00:00Z,0140-01-11T00:00:00Z,61,65,4.016393442622951
10,Pius I,Pius,1,Saint,0081-06-30T00:00:00Z,0140-01-11T00:00:00Z,0155-07-11T00:00:00Z,58,74,15.495890410958904
11,Anicetus,Anicetus,1,Saint,0092-06-30T00:00:00Z,0155-07-11T00:00:00Z,0166-04-20T00:00:00Z,63,73,10.775342465753425
12,Soter,Soter,1,Saint,0119-06-30T00:00:00Z,0166-04-20T00:00:00Z,0174-04-22T00:00:00Z,46,54,8.005479452054795
13,Eleutherius,Eleutherius,1,Saint,0130-06-30T00:00:00Z,0174-04-22T00:00:00Z,0189-05-26T00:00:00Z,43,58,15.093150684931507
14,Victor I,Victor,1,Saint,0155-06-30T00:00:00Z,0189-05-26T00:00:00Z,0199-07-28T00:00:00Z,33,44,10.172602739726027
15,Zephyrinus,Zephyrinus,1,Saint,0160-06-30T00:00:00Z,0199-07-28T00:00:00Z,0217-12-20T00:00:00Z,39,57,18.397260273972602
16,Callixtus I,Callixtus,1,Saint,0155-06-30T00:00:00Z,0217-12-20T00:00:00Z,0222-10-14T00:00:00Z,62,67,4.816438356164383
17,Urban I,Urban,1,Saint,0175-06-30T00:00:00Z,0222-10-14T00:00:00Z,0230-05-23T00:00:00Z,47,54,7.605479452054794
18,Pontian,Pontian,1,Saint,0175-06-30T00:00:00Z,0230-08-21T00:00:00Z,0235-09-28T00:00:00Z,55,60,5.103825136612022
19,Anterus,Anterus,1,Saint,0180-06-30T00:00:00Z,0235-11-21T00:00:00Z,0236-01-03T00:00:00Z,55,55,0.11748633879781421
20,Fabian,Fabian,1,Saint,0200-06-30T00:00:00Z,0236-01-10T00:00:00Z,0250-01-20T00:00:00Z,35,49,14.027397260273972
21,Cornelius,Cornelius,1,Saint,0180-06-30T00:00:00Z,0251-03-06T00:00:00Z,0253-06-25T00:00:00Z,70,72,2.304109589041096
22,Lucius I,Lucius,1,Saint,0200-06-30T00:00:00Z,0253-06-25T00:00:00Z,0254-03-05T00:00:00Z,52,53,0.6931506849315069
23,Stephen I,Stephen,1,Saint,0205-06-30T00:00:00Z,0254-03-12T00:00:00Z,0257-08-02T00:00:00Z,48,52,3.3917808219178083
24,Sixtus II,Sixtus,2,Saint,0215-06-30T00:00:00Z,0257-08-30T00:00:00Z,0258-08-06T00:00:00Z,42,43,0.9342465753424658
25,Dionysius,Dionysius,1,Saint,0200-06-30T00:00:00Z,0259-07-22T00:00:00Z,0268-12-26T00:00:00Z,59,68,9.43013698630137
26,Felix I,Felix,1,Saint,0206-06-30T00:00:00Z,0269-01-05T00:00:00Z,0274-12-30T00:00:00Z,62,68,5.983561643835617
27,Eutychian,Eutychian,1,Saint,0240-06-30T00:00:00Z,0275-01-04T00:00:00Z,0283-12-07T00:00:00Z,34,43,8.923287671232877
28,Caius,Caius,1,Saint,0245-06-30T00:00:00Z,0283-12-17T00:00:00Z,0296-04-22T00:00:00Z,38,50,12.346994535519126
29,Marcellinus,Marcellinus,1,Saint,0250-06-30T00:00:00Z,0296-06-30T00:00:00Z,0304-04-26T00:00:00Z,46,53,7.8224043715847
30,Marcellus I,Marcellus,1,Saint,0255-06-30T00:00:00Z,0308-05-27T00:00:00Z,0309-01-16T00:00:00Z,52,53,0.6410958904109589
31,Eusebius,Eusebius,1,Saint,0255-06-30T00:00:00Z,0309-04-18T00:00:00Z,0310-08-17T00:00:00Z,53,55,1.3315068493150686
32,Miltiades,Miltiades,1,Saint,0270-06-30T00:00:00Z,0311-07-02T00:00:00Z,0314-01-10T00:00:00Z,41,43,2.526027397260274
33,Sylvester I,Sylvester,1,Saint,0285-06-30T00:00:00Z,0314-01-31T00:00:00Z,0335-12-31T00:00:00Z,28,50,21.915068493150685
34,Mark,Mark,1,Saint,0290-06-30T00:00:00Z,0336-01-18T00:00:00Z,0336-10-07T00:00:00Z,45,46,0.7185792349726776
35,Julius I,Julius,1,Saint,0280-06-30T00:00:00Z,0337-02-06T00:00:00Z,0352-04-12T00:00:00Z,56,71,15.180327868852459
36,Liberius,Liberius,1,NA,0310-06-30T00:00:00Z,0352-05-17T00:00:00Z,0366-09-24T00:00:00Z,41,56,14.356164383561644
37,Damasus I,Damasus,1,Saint,0305-06-30T00:00:00Z,0366-10-01T00:00:00Z,0384-12-11T00:00:00Z,61,79,18.194520547945206
38,Siricius,Siricius,1,Saint,0334-06-30T00:00:00Z,0384-12-17T00:00:00Z,0399-11-26T00:00:00Z,50,65,14.942465753424658
39,Anastasius I,Anastasius,1,Saint,0340-06-30T00:00:00Z,0399-11-27T00:00:00Z,0401-12-19T00:00:00Z,59,61,2.0602739726027397
40,Innocent I,Innocent,1,Saint,0378-06-30T00:00:00Z,0401-12-21T00:00:00Z,0417-03-12T00:00:00Z,23,38,15.221917808219178
41,Zosimus,Zosimus,1,Saint,0370-06-30T00:00:00Z,0417-03-18T00:00:00Z,0418-12-26T00:00:00Z,46,48,1.7753424657534247
42,Boniface I,Boniface,1,Saint,0377-06-30T00:00:00Z,0418-12-28T00:00:00Z,0422-09-04T00:00:00Z,41,45,3.684931506849315
43,Celestine I,Celestine,1,Saint,0380-06-30T00:00:00Z,0422-09-10T00:00:00Z,0432-07-27T00:00:00Z,42,52,9.87704918032787
44,Sixtus III,Sixtus,3,Saint,0390-06-30T00:00:00Z,0432-07-31T00:00:00Z,0440-08-18T00:00:00Z,42,50,8.04931506849315
45,Leo I,Leo,1,Saint,0390-06-30T00:00:00Z,0440-09-29T00:00:00Z,0461-11-10T00:00:00Z,50,71,21.115068493150684
46,Hilary,Hilary,1,Saint,0400-06-30T00:00:00Z,0461-11-19T00:00:00Z,0468-02-29T00:00:00Z,61,67,6.278688524590164
47,Simplicius,Simplicius,1,Saint,0430-06-30T00:00:00Z,0468-03-03T00:00:00Z,0483-03-10T00:00:00Z,37,52,15.019125683060109
48,Felix III,Felix,3,Saint,0440-06-30T00:00:00Z,0483-03-13T00:00:00Z,0492-03-01T00:00:00Z,42,51,8.967213114754099
49,Gelasius I,Gelasius,1,Saint,0410-06-30T00:00:00Z,0492-03-01T00:00:00Z,0496-11-21T00:00:00Z,81,86,4.726027397260274
50,Anastasius II,Anastasius,2,NA,0445-06-30T00:00:00Z,0496-11-24T00:00:00Z,0498-11-19T00:00:00Z,51,53,1.9863013698630136
51,Symmachus,Symmachus,1,Saint,0460-06-30T00:00:00Z,0498-11-22T00:00:00Z,0514-07-19T00:00:00Z,38,54,15.654794520547945
52,Hormisdas,Hormisdas,1,Saint,0450-06-30T00:00:00Z,0514-07-20T00:00:00Z,0523-08-06T00:00:00Z,64,73,9.046448087431694
53,John I,John,1,Saint,0470-06-30T00:00:00Z,0523-08-13T00:00:00Z,0526-05-18T00:00:00Z,53,55,2.7616438356164386
54,Felix IV,Felix,4,Saint,0490-06-30T00:00:00Z,0526-07-12T00:00:00Z,0530-09-22T00:00:00Z,36,40,4.197260273972603
55,Boniface II,Boniface,2,NA,0490-06-30T00:00:00Z,0530-09-22T00:00:00Z,0532-10-17T00:00:00Z,40,42,2.0684931506849313
56,John II,John,2,NA,0473-06-30T00:00:00Z,0533-01-02T00:00:00Z,0535-05-08T00:00:00Z,59,61,2.345205479452055
57,Agapetus I,Agapetus,1,Saint,0490-06-30T00:00:00Z,0535-05-13T00:00:00Z,0536-04-22T00:00:00Z,44,45,0.9426229508196722
58,Silverius,Silverius,1,Saint,0480-06-30T00:00:00Z,0536-06-08T00:00:00Z,0537-03-11T00:00:00Z,55,56,0.7561643835616438
59,Vigilius,Vigilius,1,NA,0500-06-30T00:00:00Z,0537-03-29T00:00:00Z,0555-06-07T00:00:00Z,36,54,18.19125683060109
60,Pelagius I,Pelagius,1,NA,0505-06-30T00:00:00Z,0556-04-16T00:00:00Z,0561-03-04T00:00:00Z,50,55,4.882191780821918
61,John III,John,3,NA,0520-06-30T00:00:00Z,0561-07-17T00:00:00Z,0574-07-13T00:00:00Z,41,54,12.98904109589041
62,Benedict I,Benedict,1,NA,0525-06-30T00:00:00Z,0575-06-02T00:00:00Z,0579-07-30T00:00:00Z,49,54,4.158469945355192
63,Pelagius II,Pelagius,2,NA,0520-06-30T00:00:00Z,0579-11-26T00:00:00Z,0590-02-07T00:00:00Z,59,69,10.2
64,Gregory I,Gregory,1,Saint,0540-06-30T00:00:00Z,0590-09-03T00:00:00Z,0604-03-12T00:00:00Z,50,63,13.521857923497269
65,Sabinian,Sabinian,1,NA,0530-06-30T00:00:00Z,0604-09-13T00:00:00Z,0606-02-22T00:00:00Z,74,75,1.4438356164383561
66,Boniface III,Boniface,3,NA,0540-06-30T00:00:00Z,0607-02-19T00:00:00Z,0607-11-12T00:00:00Z,66,67,0.7287671232876712
67,Boniface IV,Boniface,4,Saint,0550-06-30T00:00:00Z,0608-09-15T00:00:00Z,0615-05-08T00:00:00Z,58,64,6.6438356164383565
68,Adeodatus I,Adeodatus,1,Saint,0570-06-30T00:00:00Z,0615-11-13T00:00:00Z,0618-11-08T00:00:00Z,45,48,2.9863013698630136
69,Boniface V,Boniface,5,NA,0575-06-30T00:00:00Z,0619-12-23T00:00:00Z,0625-10-25T00:00:00Z,44,50,5.838356164383562
70,Honorius I,Honorius,1,NA,0585-06-30T00:00:00Z,0625-10-27T00:00:00Z,0638-10-12T00:00:00Z,40,53,12.95890410958904
71,Severinus,Severinus,1,NA,0585-06-30T00:00:00Z,0640-05-28T00:00:00Z,0640-08-02T00:00:00Z,54,55,0.18082191780821918
72,John IV,John,4,NA,0587-06-30T00:00:00Z,0640-12-24T00:00:00Z,0642-10-12T00:00:00Z,53,55,1.8
73,Theodore I,Theodore,1,NA,0610-06-30T00:00:00Z,0642-11-24T00:00:00Z,0649-05-14T00:00:00Z,32,38,6.468493150684932
74,Martin I,Martin,1,Saint,0590-06-30T00:00:00Z,0649-07-05T00:00:00Z,0655-11-12T00:00:00Z,59,65,6.355191256830601
75,Eugene I,Eugene,1,Saint,0615-06-30T00:00:00Z,0654-08-10T00:00:00Z,0657-06-02T00:00:00Z,39,41,2.8109589041095893
76,Vitalian,Vitalian,1,Saint,0600-06-30T00:00:00Z,0657-07-30T00:00:00Z,0672-01-27T00:00:00Z,57,71,14.494535519125684
77,Adeodatus II,Adeodatus,2,NA,0621-06-30T00:00:00Z,0672-04-11T00:00:00Z,0676-06-17T00:00:00Z,50,54,4.183561643835616
78,Donus,Donus,1,NA,0610-06-30T00:00:00Z,0676-11-02T00:00:00Z,0678-04-11T00:00:00Z,66,67,1.4383561643835616
79,Agatho,Agatho,1,Saint,0577-06-30T00:00:00Z,0678-06-27T00:00:00Z,0681-01-10T00:00:00Z,100,103,2.5397260273972604
80,Leo II,Leo,2,Saint,0611-06-30T00:00:00Z,0682-08-17T00:00:00Z,0683-07-03T00:00:00Z,71,72,0.8767123287671232
81,Benedict II,Benedict,2,Saint,0635-06-30T00:00:00Z,0684-06-26T00:00:00Z,0685-05-08T00:00:00Z,48,49,0.8657534246575342
82,John V,John,5,NA,0635-06-30T00:00:00Z,0685-07-23T00:00:00Z,0686-08-02T00:00:00Z,50,51,1.0273972602739727
83,Conon,Conon,1,NA,0630-06-30T00:00:00Z,0686-10-21T00:00:00Z,0687-09-21T00:00:00Z,56,57,0.9178082191780822
84,Sergius I,Sergius,1,Saint,0650-06-30T00:00:00Z,0687-12-15T00:00:00Z,0701-09-08T00:00:00Z,37,51,13.731506849315068
85,John VI,John,6,NA,0650-06-30T00:00:00Z,0701-10-30T00:00:00Z,0705-01-11T00:00:00Z,51,54,3.2
86,John VII,John,7,NA,0655-06-30T00:00:00Z,0705-03-01T00:00:00Z,0707-10-18T00:00:00Z,49,52,2.6311475409836067
87,Sisinnius,Sisinnius,1,NA,0650-06-30T00:00:00Z,0708-01-15T00:00:00Z,0708-02-04T00:00:00Z,57,57,0.0546448087431694
88,Constantine,Constantine,1,NA,0664-06-30T00:00:00Z,0708-03-25T00:00:00Z,0715-04-09T00:00:00Z,43,50,7.040983606557377
89,Gregory II,Gregory,2,Saint,0669-06-30T00:00:00Z,0715-05-19T00:00:00Z,0731-02-11T00:00:00Z,45,61,15.734246575342466
90,Gregory III,Gregory,3,Saint,0669-06-30T00:00:00Z,0731-03-18T00:00:00Z,0741-11-28T00:00:00Z,61,72,10.698630136986301
91,Zachary,Zachary,1,Saint,0679-06-30T00:00:00Z,0741-12-03T00:00:00Z,0752-03-22T00:00:00Z,62,72,10.300546448087431
92,Stephen II,Stephen,2,Saint,0714-06-30T00:00:00Z,0752-03-26T00:00:00Z,0757-04-26T00:00:00Z,37,42,5.0849315068493155
93,Paul I,Paul,1,Saint,0700-06-30T00:00:00Z,0757-05-29T00:00:00Z,0767-06-28T00:00:00Z,56,66,10.081967213114755
94,Stephen III,Stephen,3,Saint,0723-06-30T00:00:00Z,0768-08-07T00:00:00Z,0772-01-24T00:00:00Z,45,48,3.4644808743169397
95,Adrian I,Adrian,1,NA,0700-06-30T00:00:00Z,0772-02-01T00:00:00Z,0795-12-26T00:00:00Z,71,95,23.898630136986302
96,Leo III,Leo,3,Saint,0750-06-30T00:00:00Z,0795-12-26T00:00:00Z,0816-06-12T00:00:00Z,45,65,20.461748633879782
97,Stephen IV,Stephen,4,Saint,0770-06-30T00:00:00Z,0816-06-22T00:00:00Z,0817-01-24T00:00:00Z,45,46,0.5917808219178082
98,Paschal I,Paschal,1,Saint,0775-06-30T00:00:00Z,0817-01-25T00:00:00Z,0824-02-11T00:00:00Z,41,48,7.046448087431694
99,Eugene II,Eugene,2,NA,0780-06-30T00:00:00Z,0824-05-08T00:00:00Z,0827-08-27T00:00:00Z,43,47,3.30327868852459
100,Valentine,Valentine,1,NA,0780-06-30T00:00:00Z,0827-08-31T00:00:00Z,0827-10-10T00:00:00Z,47,47,0.1092896174863388
101,Gregory IV,Gregory,4,NA,0790-06-30T00:00:00Z,0827-12-20T00:00:00Z,0844-01-25T00:00:00Z,37,53,16.098360655737704
102,Sergius II,Sergius,2,NA,0790-06-30T00:00:00Z,0844-01-25T00:00:00Z,0847-01-27T00:00:00Z,53,56,3.0054794520547947
103,Leo IV,Leo,4,Saint,0790-06-30T00:00:00Z,0847-04-10T00:00:00Z,0855-07-17T00:00:00Z,56,65,8.26775956284153
104,Benedict III,Benedict,3,NA,0810-06-30T00:00:00Z,0855-09-29T00:00:00Z,0858-04-17T00:00:00Z,45,47,2.547945205479452
105,Nicholas I,Nicholas,1,Saint,0800-06-30T00:00:00Z,0858-04-24T00:00:00Z,0867-11-13T00:00:00Z,57,67,9.55464480874317
106,Adrian II,Adrian,2,NA,0792-06-30T00:00:00Z,0867-12-14T00:00:00Z,0872-12-14T00:00:00Z,75,80,5
107,John VIII,John,8,NA,0820-06-30T00:00:00Z,0872-12-14T00:00:00Z,0882-12-16T00:00:00Z,52,62,10.005479452054795
108,Marinus I,Marinus,1,NA,0830-06-30T00:00:00Z,0882-12-16T00:00:00Z,0884-05-15T00:00:00Z,52,53,1.4125683060109289
109,Adrian III,Adrian,3,Saint,0830-06-30T00:00:00Z,0884-05-17T00:00:00Z,0885-09-15T00:00:00Z,53,55,1.3315068493150686
110,Stephen V,Stephen,5,Saint,0840-06-30T00:00:00Z,0885-09-14T00:00:00Z,0891-09-04T00:00:00Z,45,51,5.972602739726027
111,Formosus,Formosus,1,NA,0805-06-30T00:00:00Z,0891-10-06T00:00:00Z,0896-04-04T00:00:00Z,86,90,4.494535519125683
112,Boniface VI,Boniface,6,NA,0806-06-30T00:00:00Z,0896-04-11T00:00:00Z,0896-04-26T00:00:00Z,89,89,0.0410958904109589
113,Stephen VI,Stephen,6,Saint,0850-06-30T00:00:00Z,0896-05-22T00:00:00Z,0897-08-14T00:00:00Z,45,47,1.2301369863013698
114,Romanus,Romanus,1,NA,0850-06-30T00:00:00Z,0897-08-14T00:00:00Z,0897-11-01T00:00:00Z,47,47,0.21643835616438356
115,Theodore II,Theodore,2,NA,0840-06-30T00:00:00Z,0897-12-01T00:00:00Z,0897-12-20T00:00:00Z,57,57,0.052054794520547946
116,John IX,John,9,NA,0840-06-30T00:00:00Z,0898-01-18T00:00:00Z,0900-01-05T00:00:00Z,57,59,1.9643835616438357
117,Benedict IV,Benedict,4,NA,0840-06-30T00:00:00Z,0900-02-01T00:00:00Z,0903-07-30T00:00:00Z,59,63,3.4904109589041097
118,Leo V,Leo,5,NA,0845-06-30T00:00:00Z,0903-07-30T00:00:00Z,0903-12-01T00:00:00Z,58,58,0.33879781420765026
119,Sergius III,Sergius,3,NA,0860-06-30T00:00:00Z,0904-01-29T00:00:00Z,0911-04-14T00:00:00Z,43,50,7.205479452054795
120,Anastasius III,Anastasius,3,NA,0865-06-30T00:00:00Z,0911-04-14T00:00:00Z,0913-06-01T00:00:00Z,45,47,2.1315068493150684
121,Lando,Lando,1,NA,0865-06-30T00:00:00Z,0913-07-07T00:00:00Z,0914-02-05T00:00:00Z,48,48,0.5835616438356165
122,John X,John,10,NA,0860-06-30T00:00:00Z,0914-03-01T00:00:00Z,0928-05-28T00:00:00Z,53,67,14.241095890410959
123,Leo VI,Leo,6,NA,0880-06-30T00:00:00Z,0928-05-28T00:00:00Z,0928-12-01T00:00:00Z,47,48,0.5123287671232877
124,Stephen VII,Stephen,7,Saint,0880-06-30T00:00:00Z,0929-02-03T00:00:00Z,0931-02-13T00:00:00Z,48,50,2.0273972602739727
125,John XI,John,11,NA,0910-06-30T00:00:00Z,0931-03-15T00:00:00Z,0935-12-01T00:00:00Z,20,25,4.713114754098361
126,Leo VII,Leo,7,NA,0885-06-30T00:00:00Z,0936-01-03T00:00:00Z,0939-07-13T00:00:00Z,50,54,3.5232876712328767
127,Stephen VIII,Stephen,8,Saint,0900-06-30T00:00:00Z,0939-07-14T00:00:00Z,0942-10-30T00:00:00Z,39,42,3.2958904109589042
128,Marinus II,Marinus,2,NA,0900-06-30T00:00:00Z,0942-10-30T00:00:00Z,0946-05-01T00:00:00Z,42,45,3.5013698630136987
129,Agapetus II,Agapetus,2,NA,0905-06-30T00:00:00Z,0946-05-10T00:00:00Z,0955-11-08T00:00:00Z,40,50,9.497267759562842
130,John XII,John,12,NA,0930-06-30T00:00:00Z,0955-12-16T00:00:00Z,0963-12-06T00:00:00Z,25,33,7.972602739726027
130,John XII,John,12,NA,0937-06-30T00:00:00Z,0964-02-26T00:00:00Z,0964-05-14T00:00:00Z,26,26,0.21311475409836064
131,Benedict V,Benedict,5,NA,0915-06-30T00:00:00Z,0964-05-22T00:00:00Z,0964-06-23T00:00:00Z,48,48,0.08767123287671233
132,Leo VIII,Leo,8,NA,0915-06-30T00:00:00Z,0964-06-23T00:00:00Z,0965-03-01T00:00:00Z,48,49,0.6876712328767123
