number,name_full,name,suffix,canonization,birth,start,end,age_start,age_end,tenure
133,John XIII,John,13,NA,0930-06-30T00:00:00Z,0965-10-01T00:00:00Z,0972-09-06T00:00:00Z,35,42,6.9316939890710385
134,Benedict VI,Benedict,6,NA,0925-06-30T00:00:00Z,0973-01-19T00:00:00Z,0974-06-08T00:00:00Z,47,48,1.3835616438356164
135,Benedict VII,Benedict,7,NA,0930-06-30T00:00:00Z,0974-10-01T00:00:00Z,0983-07-10T00:00:00Z,44,53,8.772602739726027
136,John XIV,John,14,NA,0940-06-30T00:00:00Z,0983-12-01T00:00:00Z,0984-08-20T00:00:00Z,43,44,0.7185792349726776
137,John XV,John,15,NA,0950-06-30T00:00:00Z,0985-08-20T00:00:00Z,0996-04-01T00:00:00Z,35,45,10.614754098360656
138,Gregory V,Gregory,5,NA,0972-06-30T00:00:00Z,0996-05-03T00:00:00Z,0999-02-18T00:00:00Z,23,26,2.7972602739726025
139,Sylvester II,Sylvester,2,NA,0940-06-30T00:00:00Z,0999-04-02T00:00:00Z,1003-05-12T00:00:00Z,58,62,4.109289617486339
140,John XVII,John,17,NA,0955-06-30T00:00:00Z,1003-05-16T00:00:00Z,1003-11-06T00:00:00Z,47,48,0.47540983606557374
141,John XVIII,John,18,NA,0965-06-30T00:00:00Z,1003-12-25T00:00:00Z,1009-07-18T00:00:00Z,38,44,5.561643835616438
142,Sergius IV,Sergius,4,NA,0970-06-30T00:00:00Z,1009-07-31T00:00:00Z,1012-05-12T00:00:00Z,39,41,2.781420765027322
143,Benedict VIII,Benedict,8,NA,0980-06-30T00:00:00Z,1012-05-18T00:00:00Z,1024-04-09T00:00:00Z,31,43,11.89344262295082
144,John XIX,John,19,NA,0975-06-30T00:00:00Z,1024-05-14T00:00:00Z,1032-10-06T00:00:00Z,48,57,8.397260273972602
145,Benedict IX,Benedict,9,NA,NA,1032-10-21T00:00:00Z,1044-12-31T00:00:00Z,NA,NA,12.194520547945206
146,Sylvester III,Sylvester,3,NA,1000-06-30T00:00:00Z,1045-01-13T00:00:00Z,1045-03-10T00:00:00Z,44,44,0.15342465753424658
147,Benedict IX,Benedict,9,NA,NA,1045-03-10T00:00:00Z,1045-05-01T00:00:00Z,NA,NA,0.14246575342465753
148,Gregory VI,Gregory,6,NA,1000-06-30T00:00:00Z,1045-05-05T00:00:00Z,1046-12-20T00:00:00Z,44,46,1.6273972602739726
149,Clement II,Clement,2,NA,0967-06-30T00:00:00Z,1046-12-24T00:00:00Z,1047-10-09T00:00:00Z,79,80,0.7917808219178082
150,Benedict IX,Benedict,9,NA,1012-06-30T00:00:00Z,1047-11-08T00:00:00Z,1048-07-17T00:00:00Z,35,36,0.6885245901639344
151,Damasus II,Damasus,2,NA,1000-06-30T00:00:00Z,1048-07-17T00:00:00Z,1048-08-09T00:00:00Z,48,48,0.06301369863013699
152,Leo IX,Leo,9,Saint,1002-07-21T00:00:00Z,1049-02-12T00:00:00Z,1054-04-19T00:00:00Z,46,51,5.1808219178082195
153,Victor II,Victor,2,NA,1018-06-30T00:00:00Z,1055-04-13T00:00:00Z,1057-07-28T00:00:00Z,36,39,2.2904109589041095
154,Stephen IX,Stephen,9,Saint,1020-06-30T00:00:00Z,1057-08-02T00:00:00Z,1058-03-29T00:00:00Z,37,37,0.6547945205479452
155,Nicholas II,Nicholas,2,NA,0980-06-30T00:00:00Z,1058-12-06T00:00:00Z,1061-07-27T00:00:00Z,78,81,2.638356164383562
156,Alexander II,Alexander,2,NA,1018-06-30T00:00:00Z,1061-09-30T00:00:00Z,1073-04-21T00:00:00Z,43,54,11.556164383561644
157,Gregory VII,Gregory,7,Saint,1015-06-30T00:00:00Z,1073-04-22T00:00:00Z,1085-05-25T00:00:00Z,57,69,12.09041095890411
158,Victor III,Victor,3,Blessed,1026-06-30T00:00:00Z,1086-05-24T00:00:00Z,1087-09-16T00:00:00Z,59,61,1.314207650273224
159,Urban II,Urban,2,Blessed,1042-06-30T00:00:00Z,1088-03-12T00:00:00Z,1099-07-29T00:00:00Z,45,57,11.38082191780822
160,Paschal II,Paschal,2,NA,1050-06-30T00:00:00Z,1099-08-13T00:00:00Z,1118-01-21T00:00:00Z,49,67,18.44109589041096
161,Gelasius II,Gelasius,2,NA,1061-06-30T00:00:00Z,1118-01-24T00:00:00Z,1119-01-29T00:00:00Z,56,57,1.0136986301369864
162,Callixtus II,Callixtus,2,NA,1060-06-30T00:00:00Z,1119-02-02T00:00:00Z,1124-12-13T00:00:00Z,58,64,5.860655737704918
163,Honorius II,Honorius,2,NA,1060-02-09T00:00:00Z,1124-12-21T00:00:00Z,1130-02-13T00:00:00Z,64,70,5.147945205479452
164,Innocent II,Innocent,2,NA,1082-06-30T00:00:00Z,1130-02-14T00:00:00Z,1143-09-24T00:00:00Z,47,61,13.608219178082193
165,Celestine II,Celestine,2,NA,1085-06-30T00:00:00Z,1143-09-26T00:00:00Z,1144-03-08T00:00:00Z,58,58,0.44808743169398907
166,Lucius II,Lucius,2,NA,1079-06-30T00:00:00Z,1144-03-12T00:00:00Z,1145-02-15T00:00:00Z,64,65,0.9315068493150684
167,Eugene III,Eugene,3,Blessed,1080-06-30T00:00:00Z,1145-02-15T00:00:00Z,1153-07-08T00:00:00Z,64,73,8.391780821917807
168,Anastasius IV,Anastasius,4,NA,1073-06-30T00:00:00Z,1153-07-12T00:00:00Z,1154-12-03T00:00:00Z,80,81,1.3945205479452054
169,Adrian IV,Adrian,4,NA,1100-06-30T00:00:00Z,1154-12-04T00:00:00Z,1159-09-01T00:00:00Z,54,59,4.742465753424657
170,Alexander III,Alexander,3,NA,1100-06-30T00:00:00Z,1159-09-07T00:00:00Z,1181-08-30T00:00:00Z,59,81,21.97808219178082
171,Lucius III,Lucius,3,NA,1097-06-30T00:00:00Z,1181-09-01T00:00:00Z,1185-11-25T00:00:00Z,84,88,4.232876712328767
172,Urban III,Urban,3,NA,1120-06-30T00:00:00Z,1185-11-25T00:00:00Z,1187-10-20T00:00:00Z,65,67,1.9013698630136986
173,Gregory VIII,Gregory,8,NA,1100-06-30T00:00:00Z,1187-10-21T00:00:00Z,1187-12-17T00:00:00Z,87,87,0.1557377049180328
174,Clement III,Clement,3,NA,1130-06-30T00:00:00Z,1187-12-19T00:00:00Z,1191-03-20T00:00:00Z,57,60,3.249315068493151
175,Celestine III,Celestine,3,NA,1106-06-30T00:00:00Z,1191-03-30T00:00:00Z,1198-01-08T00:00:00Z,84,91,6.778082191780822
176,Innocent III,Innocent,3,NA,1161-06-30T00:00:00Z,1198-01-08T00:00:00Z,1216-07-16T00:00:00Z,36,55,18.51912568306011
177,Honorius III,Honorius,3,NA,1148-06-30T00:00:00Z,1216-07-18T00:00:00Z,1227-03-18T00:00:00Z,68,78,10.665753424657535
178,Gregory IX,Gregory,9,NA,1145-06-30T00:00:00Z,1227-03-19T00:00:00Z,1241-08-22T00:00:00Z,81,96,14.427397260273972
179,Celestine IV,Celestine,4,NA,1180-06-30T00:00:00Z,1241-10-25T00:00:00Z,1241-11-10T00:00:00Z,61,61,0.043835616438356165
180,Innocent IV,Innocent,4,NA,1195-06-30T00:00:00Z,1243-06-25T00:00:00Z,1254-12-07T00:00:00Z,47,59,11.452054794520548
181,Alexander IV,Alexander,4,NA,1199-06-30T00:00:00Z,1254-12-12T00:00:00Z,1261-05-25T00:00:00Z,55,61,6.449315068493151
182,Urban IV,Urban,4,NA,1195-06-30T00:00:00Z,1261-08-29T00:00:00Z,1264-10-02T00:00:00Z,66,69,3.0931506849315067
183,Clement IV,Clement,4,NA,1190-11-23T00:00:00Z,1265-02-05T00:00:00Z,1268-11-29T00:00:00Z,74,78,3.8142076502732243
184,Gregory X,Gregory,10,Blessed,1210-06-30T00:00:00Z,1271-09-01T00:00:00Z,1276-01-10T00:00:00Z,61,65,4.35792349726776
185,Innocent V,Innocent,5,Blessed,1224-06-30T00:00:00Z,1276-01-21T00:00:00Z,1276-06-22T00:00:00Z,51,51,0.4180327868852459
186,Adrian V,Adrian,5,NA,1216-06-30T00:00:00Z,1276-07-11T00:00:00Z,1276-08-18T00:00:00Z,60,60,0.10410958904109589
187,John XXI,John,21,NA,1215-06-30T00:00:00Z,1276-09-08T00:00:00Z,1277-05-20T00:00:00Z,61,61,0.6958904109589041
188,Nicholas III,Nicholas,3,NA,1216-06-30T00:00:00Z,1277-11-25T00:00:00Z,1280-08-22T00:00:00Z,61,64,2.7404371584699456
189,Martin IV,Martin,4,NA,1210-06-30T00:00:00Z,1281-02-22T00:00:00Z,1285-03-28T00:00:00Z,70,74,4.093150684931507
190,Honorius IV,Honorius,4,NA,1210-06-30T00:00:00Z,1285-04-02T00:00:00Z,1287-04-03T00:00:00Z,74,76,2.0027322404371586
191,Nicholas IV,Nicholas,4,NA,1227-09-30T00:00:00Z,1288-02-22T00:00:00Z,1292-04-04T00:00:00Z,60,64,4.114754098360656
192,Celestine V,Celestine,5,Saint,NA,1294-07-05T00:00:00Z,1294-12-13T00:00:00Z,NA,NA,0.4410958904109589
193,Boniface VIII,Boniface,8,NA,1230-06-30T00:00:00Z,1294-12-24T00:00:00Z,1303-10-11T00:00:00Z,64,73,8.797260273972602
194,Benedict XI,Benedict,11,Blessed,1240-06-30T00:00:00Z,1303-10-22T00:00:00Z,1304-07-07T00:00:00Z,63,64,0.7076502732240437
195,Clement V,Clement,5,NA,1264-06-30T00:00:00Z,1305-06-05T00:00:00Z,1314-04-20T00:00:00Z,40,49,8.873972602739727
196,John XXII,John,22,NA,1244-06-30T00:00:00Z,1316-08-07T00:00:00Z,1334-12-04T00:00:00Z,72,90,18.326027397260273
197,Benedict XII,Benedict,12,NA,1280-06-30T00:00:00Z,1334-12-20T00:00:00Z,1342-04-25T00:00:00Z,54,61,7.345205479452055
198,Clement VI,Clement,6,NA,1291-06-30T00:00:00Z,1342-05-07T00:00:00Z,1352-12-06T00:00:00Z,50,61,10.583561643835617
199,Innocent VI,Innocent,6,NA,1282-06-30T00:00:00Z,1352-12-18T00:00:00Z,1362-09-12T00:00:00Z,70,80,9.734246575342466
200,Urban V,Urban,5,Blessed,1309-06-30T00:00:00Z,1362-09-28T00:00:00Z,1370-12-19T00:00:00Z,53,61,8.224657534246575
201,Gregory XI,Gregory,11,NA,1329-06-30T00:00:00Z,1370-12-30T00:00:00Z,1378-03-27T00:00:00Z,41,48,7.238356164383561
202,Urban VI,Urban,6,NA,1318-06-30T00:00:00Z,1378-04-08T00:00:00Z,1389-10-15T00:00:00Z,59,71,11.520547945205479
203,Boniface IX,Boniface,9,NA,1348-06-30T00:00:00Z,1389-11-02T00:00:00Z,1404-10-01T00:00:00Z,41,56,14.912568306010929
204,Innocent VII,Innocent,7,NA,1336-06-30T00:00:00Z,1404-10-17T00:00:00Z,1406-11-06T00:00:00Z,68,70,2.0547945205479454
205,Gregory XII,Gregory,12,NA,1327-06-30T00:00:00Z,1406-11-30T00:00:00Z,1415-07-04T00:00:00Z,79,88,8.591780821917808
206,Martin V,Martin,5,NA,1369-06-30T00:00:00Z,1417-11-11T00:00:00Z,1431-02-20T00:00:00Z,48,61,13.276712328767124
207,Eugene IV,Eugene,4,NA,1383-06-30T00:00:00Z,1431-03-03T00:00:00Z,1447-02-23T00:00:00Z,47,63,15.978082191780821
208,Nicholas V,Nicholas,5,NA,1397-11-13T00:00:00Z,1447-03-06T00:00:00Z,1455-03-24T00:00:00Z,49,57,8.049180327868852
209,Callixtus III,Callixtus,3,NA,1378-12-31T00:00:00Z,1455-04-08T00:00:00Z,1458-08-06T00:00:00Z,76,79,3.328767123287671
210,Pius II,Pius,2,NA,1405-10-18T00:00:00Z,1458-08-19T00:00:00Z,1464-08-15T00:00:00Z,52,58,5.989071038251366
211,Paul II,Paul,2,NA,1417-02-23T00:00:00Z,1464-08-30T00:00:00Z,1471-07-26T00:00:00Z,47,54,6.904109589041096
212,Sixtus IV,Sixtus,4,NA,1414-07-21T00:00:00Z,1471-08-09T00:00:00Z,1484-08-12T00:00:00Z,57,70,13.008219178082191
213,Innocent VIII,Innocent,8,NA,1432-06-30T00:00:00Z,1484-08-29T00:00:00Z,1492-07-25T00:00:00Z,52,60,7.904371584699454
214,Alexander VI,Alexander,6,NA,1431-01-01T00:00:00Z,1492-08-11T00:00:00Z,1503-08-18T00:00:00Z,61,72,11.019125683060109
215,Pius III,Pius,3,NA,1439-05-29T00:00:00Z,1503-09-22T00:00:00Z,1503-10-18T00:00:00Z,64,64,0.07103825136612021
216,Julius II,Julius,2,NA,1443-12-05T00:00:00Z,1503-10-31T00:00:00Z,1513-02-21T00:00:00Z,59,69,9.30958904109589
217,Leo X,Leo,10,NA,1475-12-11T00:00:00Z,1513-03-09T00:00:00Z,1521-12-01T00:00:00Z,37,45,8.731506849315068
218,Adrian VI,Adrian,6,NA,1459-03-02T00:00:00Z,1522-01-09T00:00:00Z,1523-09-14T00:00:00Z,62,64,1.6794520547945204
219,Clement VII,Clement,7,NA,1478-05-26T00:00:00Z,1523-11-26T00:00:00Z,1534-09-25T00:00:00Z,45,56,10.830136986301369
220,Paul III,Paul,3,NA,1468-02-29T00:00:00Z,1534-10-13T00:00:00Z,1549-11-10T00:00:00Z,66,81,15.076712328767123
221,Julius III,Julius,3,NA,1487-09-10T00:00:00Z,1550-02-07T00:00:00Z,1555-03-29T00:00:00Z,62,67,5.136986301369863
222,Marcellus II,Marcellus,2,NA,1501-05-06T00:00:00Z,1555-04-09T00:00:00Z,1555-05-01T00:00:00Z,53,53,0.060109289617486336
223,Paul IV,Paul,4,NA,1476-06-28T00:00:00Z,1555-05-23T00:00:00Z,1559-08-18T00:00:00Z,78,83,4.237704918032787
224,Pius IV,Pius,4,NA,1499-03-31T00:00:00Z,1559-12-26T00:00:00Z,1565-12-09T00:00:00Z,60,66,5.953424657534247
225,Pius V,Pius,5,Saint,1504-01-17T00:00:00Z,1566-01-07T00:00:00Z,1572-05-01T00:00:00Z,61,68,6.314207650273224
226,Gregory XIII,Gregory,13,NA,1502-01-07T00:00:00Z,1572-05-13T00:00:00Z,1585-04-10T00:00:00Z,70,83,12.90958904109589
227,Sixtus V,Sixtus,5,NA,1521-12-13T00:00:00Z,1585-04-24T00:00:00Z,1590-08-27T00:00:00Z,63,68,5.342465753424658
228,Urban VII,Urban,7,NA,1521-08-04T00:00:00Z,1590-09-15T00:00:00Z,1590-09-27T00:00:00Z,69,69,0.03287671232876712
229,Gregory XIV,Gregory,14,NA,1535-02-11T00:00:00Z,1590-12-05T00:00:00Z,1591-10-16T00:00:00Z,55,56,0.863013698630137
230,Innocent IX,Innocent,9,NA,1519-07-20T00:00:00Z,1591-10-29T00:00:00Z,1591-12-30T00:00:00Z,72,72,0.16939890710382513
231,Clement VIII,Clement,8,NA,1536-02-24T00:00:00Z,1592-01-30T00:00:00Z,1605-03-03T00:00:00Z,55,69,13.087671232876712
232,Leo XI,Leo,11,NA,1535-06-02T00:00:00Z,1605-04-01T00:00:00Z,1605-04-27T00:00:00Z,69,69,0.07123287671232877
233,Paul V,Paul,5,NA,1550-09-17T00:00:00Z,1605-05-16T00:00:00Z,1621-01-28T00:00:00Z,54,70,15.704109589041096
234,Gregory XV,Gregory,15,NA,1554-01-09T00:00:00Z,1621-02-09T00:00:00Z,1623-07-08T00:00:00Z,67,69,2.4082191780821915
235,Urban VIII,Urban,8,NA,1568-04-05T00:00:00Z,1623-08-06T00:00:00Z,1644-07-29T00:00:00Z,55,76,20.97814207650273
236,Innocent X,Innocent,10,NA,1574-05-06T00:00:00Z,1644-09-15T00:00:00Z,1655-01-07T00:00:00Z,70,80,10.312328767123288
237,Alexander VII,Alexander,7,NA,1599-02-13T00:00:00Z,1655-04-07T00:00:00Z,1667-05-22T00:00:00Z,56,68,12.12295081967213
238,Clement IX,Clement,9,NA,1600-01-28T00:00:00Z,1667-06-20T00:00:00Z,1669-12-09T00:00:00Z,67,69,2.4712328767123286
239,Clement X,Clement,10,NA,1590-07-13T00:00:00Z,1670-04-29T00:00:00Z,1676-07-22T00:00:00Z,79,86,6.23013698630137
240,Innocent XI,Innocent,11,Blessed,1611-05-16T00:00:00Z,1676-09-21T00:00:00Z,1689-08-12T00:00:00Z,65,78,12.89041095890411
241,Alexander VIII,Alexander,8,NA,1610-04-22T00:00:00Z,1689-10-06T00:00:00Z,1691-02-01T00:00:00Z,79,80,1.3232876712328767
242,Innocent XII,Innocent,12,NA,1615-03-13T00:00:00Z,1691-07-12T00:00:00Z,1700-09-27T00:00:00Z,76,85,9.210958904109589
243,Clement XI,Clement,11,NA,1649-07-23T00:00:00Z,1700-11-23T00:00:00Z,1721-03-19T00:00:00Z,51,71,20.317808219178083
244,Innocent XIII,Innocent,13,NA,1655-05-13T00:00:00Z,1721-05-08T00:00:00Z,1724-03-07T00:00:00Z,65,68,2.830601092896175
245,Benedict XIII,Benedict,13,Servant of God,1649-02-02T00:00:00Z,1724-05-29T00:00:00Z,1730-02-21T00:00:00Z,75,81,5.734246575342466
246,Clement XII,Clement,12,NA,1652-04-07T00:00:00Z,1730-07-12T00:00:00Z,1740-02-06T00:00:00Z,78,87,9.57103825136612
247,Benedict XIV,Benedict,14,NA,1675-03-31T00:00:00Z,1740-08-17T00:00:00Z,1758-05-03T00:00:00Z,65,83,17.70958904109589
248,Clement XIII,Clement,13,NA,1693-03-07T00:00:00Z,1758-07-06T00:00:00Z,1769-02-02T00:00:00Z,65,75,10.578082191780823
249,Clement XIV,Clement,14,NA,1705-10-31T00:00:00Z,1769-05-19T00:00:00Z,1774-09-22T00:00:00Z,63,68,5.345205479452055
250,Pius VI,Pius,6,NA,1717-12-25T00:00:00Z,1775-02-15T00:00:00Z,1799-08-29T00:00:00Z,57,81,24.534246575342465
251,Pius VII,Pius,7,Servant of God,1742-08-14T00:00:00Z,1800-03-14T00:00:00Z,1823-08-20T00:00:00Z,57,81,23.434426229508198
252,Leo XII,Leo,12,NA,1760-08-22T00:00:00Z,1823-09-28T00:00:00Z,1829-02-10T00:00:00Z,63,68,5.36986301369863
253,Pius VIII,Pius,8,NA,1761-11-20T00:00:00Z,1829-03-31T00:00:00Z,1830-11-30T00:00:00Z,67,69,1.6684931506849314
254,Gregory XVI,Gregory,16,NA,1765-09-18T00:00:00Z,1831-02-02T00:00:00Z,1846-06-01T00:00:00Z,65,80,15.326027397260274
255,Pius IX,Pius,9,Blessed,1792-05-13T00:00:00Z,1846-06-16T00:00:00Z,1878-02-07T00:00:00Z,54,85,31.646575342465752
256,Leo XIII,Leo,13,NA,1810-03-02T00:00:00Z,1878-02-20T00:00:00Z,1903-07-20T00:00:00Z,67,93,25.410958904109588
257,Pius X,Pius,10,Saint,1835-06-02T00:00:00Z,1903-08-04T00:00:00Z,1914-08-20T00:00:00Z,68,79,11.043835616438356
258,Benedict XV,Benedict,15,NA,1854-11-21T00:00:00Z,1914-09-03T00:00:00Z,1922-01-22T00:00:00Z,59,67,7.3863013698630136
259,Pius XI,Pius,11,NA,1857-05-31T00:00:00Z,1922-02-06T00:00:00Z,1939-02-10T00:00:00Z,64,81,17.01095890410959
260,Pius XII,Pius,12,Venerable,1876-03-02T00:00:00Z,1939-03-02T00:00:00Z,1958-10-09T00:00:00Z,63,82,19.605479452054794
261,John XXIII,John,23,Saint,1881-11-25T00:00:00Z,1958-10-28T00:00:00Z,1963-06-03T00:00:00Z,76,81,4.597260273972603
262,Paul VI,Paul,6,Saint,1897-09-26T00:00:00Z,1963-06-21T00:00:00Z,1978-08-06T00:00:00Z,65,80,15.126027397260273
263,John Paul I,John Paul,1,Blessed,1912-10-17T00:00:00Z,1978-08-26T00:00:00Z,1978-09-28T00:00:00Z,65,65,0.09041095890410959
264,John Paul II,John Paul,2,Saint,1920-05-18T00:00:00Z,1978-10-16T00:00:00Z,2005-04-02T00:00:00Z,58,84,26.46027397260274
265,Benedict XVI,Benedict,16,NA,1927-04-16T00:00:00Z,2005-04-19T00:00:00Z,2013-02-28T00:00:00Z,78,85,7.863013698630137
266,Francis,Francis,1,NA,1936-12-17T00:00:00Z,2013-03-13T00:00:00Z,NA,76,NA,NA
